	c1	
r636	    0.097185906	
r637	    0.013972860	
r638	    0.029244142	
r639	    0.074886770	
r640	    0.006610637	
r641	    0.015463024	
r642	    0.107290335	
r643	    0.043733480	
r644	    0.024546711	
r645	    0.013429739	
r646	    0.034574352	
r647	    0.043681192	
r648	    0.019631939	
r649	    0.030367001	
r650	    0.038811757	
r651	    0.023089898	
r652	    0.118485008	
r653	    0.118080137	
r654	    0.135919897	
r655	    0.170440712	
r656	    0.220085511	
r657	    0.441080658	
r658	    0.098383382	
r659	    0.112326019	
r660	    0.134397454	
r661	    0.181035184	
r662	    0.223234181	
r663	    0.446837904	
r664	    0.093317443	
r665	    0.077769459	
r666	    0.076049997	
r667	    0.077946522	
r668	    0.098608397	
r669	    0.202752937	
r670	    0.184134925	
r671	    0.146654988	
r672	    0.158709031	
r673	    0.165924097	
r674	    0.203405124	
r675	    0.391681172	
r676	    0.061164489	
r677	    0.077401134	
r678	    0.096748329	
r679	    0.123560864	
r680	    0.157267199	
r681	    0.280742999	
r682	    0.177611732	
r683	    0.141469572	
r684	    0.163355619	
r685	    0.187451653	
r686	    0.232389782	
r687	    0.422578998	
r688	    0.006789415	
r689	    0.004734953	
r690	    0.006039349	
r691	    0.007303041	
r692	    0.008312709	
r693	    0.006856635	
r694	    0.005344116	
r695	    0.007029064	
r696	    0.007824583	
r697	    0.010299512	
r698	    0.009246822	
r699	    0.006125485	
r700	    0.006197636	
r701	    0.006527504	
r702	    0.010776375	
r703	    0.008939153	
r704	    0.006216248	
r705	    0.007672794	
r706	    0.007672794	
r707	    0.012228229	
r708	    0.006756640	
r709	    0.006310621	
r710	    0.002244059	
r711	    0.001713710	
r712	    0.000898201	
r713	    0.010153610	
r714	    0.009319798	
r715	    0.006532867	
r716	    0.002480336	
r717	    0.001397640	
r718	    0.006708132	
r719	    0.006952288	
r720	    0.008235738	
r721	    0.008549739	
r722	    0.007712626	
r723	    0.007693668	
r724	    0.009637458	
r725	    0.009724649	
r726	    0.009112645	
r727	    0.008360871	
r728	    0.039918876	
r729	    0.020939119	
r730	    0.015671887	
r731	    0.012693924	
r732	    0.011402222	
r733	    0.014110801	
r734	    0.039479960	
r735	    0.023066942	
r736	    0.018393071	
r737	    0.016618065	
r738	    0.016136098	
r739	    0.023759666	
r740	    0.032602247	
r741	    0.019488687	
r742	    0.016907456	
r743	    0.016332749	
r744	    0.016306413	
r745	    0.024939314	
r746	    0.638578904	
r747	    0.377201103	
r748	    0.356747902	
r749	    0.335888488	
r750	    0.405014653	
r751	    0.665447889	
r752	    0.853163650	
r753	    0.588688127	
r754	    0.556259281	
r755	    0.622461293	
r756	    0.548841258	
r757	    1.163335344	
r758	    0.954988209	
r759	    0.669588506	
r760	    0.587758060	
r761	    0.646814495	
r762	    0.641113764	
r763	    1.245900488	
r764	    2.797544323	
r765	    0.716580492	
r766	    1.132212273	
r767	    0.711950853	
r768	    0.706693042	
r769	    1.695143506	
r770	    0.065853889	
r771	    0.024919577	
r772	    0.025385688	
r773	    0.026037782	
r774	    0.026072123	
r775	    0.024089975	
r776	    0.059712903	
r777	    0.023793551	
r778	    0.024516068	
r779	    0.025089933	
r780	    0.025451774	
r781	    0.023226957	
r782	    0.044594129	
r783	    0.011928367	
r784	    0.011026301	
r785	    0.013082868	
r786	    0.013239327	
r787	    0.011276258	
r788	    0.046815161	
r789	    0.022903898	
r790	    0.023025872	
r791	    0.021568469	
r792	    0.023717470	
r793	    0.020511156	
r794	    0.027943408	
r795	    0.015562178	
r796	    0.016073119	
r797	    0.018112193	
r798	    0.020162174	
r799	    0.020312328	
r800	    0.051622592	
r801	    0.025580424	
r802	    0.025807397	
r803	    0.025657498	
r804	    0.027276809	
r805	    0.025000000	
r806	    0.018181818	
r807	    0.011987767	
r808	    0.012074963	
r809	    0.012224506	
r810	    0.011778456	
r811	    0.030826620	
r812	    0.017068735	
r813	    0.011530198	
r814	    0.011791865	
r815	    0.011942388	
r816	    0.011379708	
r817	    0.028746731	
r818	    0.010531671	
r819	    0.004928417	
r820	    0.004067789	
r821	    0.004259016	
r822	    0.005399721	
r823	    0.018868854	
r824	    0.017165278	
r825	    0.011705249	
r826	    0.011902077	
r827	    0.012489615	
r828	    0.010882850	
r829	    0.024991965	
r830	    0.012289919	
r831	    0.008682864	
r832	    0.008766923	
r833	    0.009946570	
r834	    0.009988050	
r835	    0.026461399	
r836	    0.019188983	
r837	    0.013243189	
r838	    0.013381106	
r839	    0.013939139	
r840	    0.012608702	
r841	    0.031693802	
r842	    0.016904193	
r843	    0.011764538	
r844	    0.012094664	
r845	    0.011677969	
r846	    0.029372257	
r847	    0.015733185	
r848	    0.011417119	
r849	    0.011845356	
r850	    0.011267422	
r851	    0.028487299	
r852	    0.009946971	
r853	    0.004165033	
r854	    0.003852111	
r855	    0.005185170	
r856	    0.013896384	
r857	    0.018751275	
r858	    0.013437942	
r859	    0.013168112	
r860	    0.011468822	
r861	    0.026940434	
r862	    0.011582868	
r863	    0.008713164	
r864	    0.009757025	
r865	    0.009820163	
r866	    0.022805286	
r867	    0.019883638	
r868	    0.014418649	
r869	    0.014494916	
r870	    0.012994561	
r871	    0.030644610	
r872	    0.017842740	
r873	    0.011954086	
r874	    0.012273914	
r875	    0.029300267	
r876	    0.016212317	
r877	    0.011525019	
r878	    0.011742934	
r879	    0.027294353	
r880	    0.010868698	
r881	    0.004222834	
r882	    0.005486762	
r883	    0.015711030	
r884	    0.020940182	
r885	    0.015076339	
r886	    0.012632541	
r887	    0.028707724	
r888	    0.012568087	
r889	    0.008690301	
r890	    0.008865984	
r891	    0.021672757	
r892	    0.021714893	
r893	    0.015695285	
r894	    0.013727276	
r895	    0.031898946	
r896	    0.015653620	
r897	    0.013834039	
r898	    0.031289828	
r899	    0.014689779	
r900	    0.013360931	
r901	    0.029404597	
r902	    0.007443287	
r903	    0.005143795	
r904	    0.014939262	
r905	    0.017939411	
r906	    0.014961888	
r907	    0.034473213	
r908	    0.012778905	
r909	    0.010305479	
r910	    0.023246728	
r911	    0.018959575	
r912	    0.015883498	
r913	    0.036722255	
r914	    0.001448519	
r915	    0.004569473	
r916	    0.041809640	
r917	    0.155394460	
r918	    0.338252045	
r919	    4.984803336	
r920	    0.002640518	
r921	    0.010840332	
r922	    0.040138822	
r923	    0.096961991	
r924	    0.432046862	
r925	    0.006172215	
r926	    0.025677932	
r927	    0.053818849	
r928	    0.231162457	
r929	    0.016014470	
r930	    0.033790821	
r931	    0.128639682	
r932	    0.020685619	
r933	    0.055491232	
r934	    0.001151034	
r935	    0.004399240	
r936	    0.030478937	
r937	    0.095775501	
r938	    0.187621349	
r939	    1.467313290	
r940	    0.000899845	
r941	    0.005656201	
r942	    0.020015273	
r943	    0.043388649	
r944	    0.221369679	
r945	    0.012957945	
r946	    0.015060296	
r947	    0.032423197	
r948	    0.101140475	
r949	    0.013047418	
r950	    0.019179209	
r951	    0.076456233	
r952	    0.023786721	
r953	    0.080299864	
