	c1	
r122	    0.005025126	
r123	    0.091760300	
r124	    0.045454545	
r125	    0.028453182	
r126	    0.010050251	
r127	    0.349693252	
r128	    0.397660819	
r129	    0.357228196	
r130	    0.359683794	
r131	    0.384328358	
r132	    0.342857143	
r133	    0.322033898	
r134	    0.329553508	
r135	    0.396328294	
r136	    0.472868217	
r137	    0.234082397	
r138	    0.308080808	
r139	    0.414381790	
r140	    0.698492462	
r141	    0.625766871	
r142	    0.576998051	
r143	    0.594982079	
r144	    0.602766798	
r145	    0.571828358	
r146	    0.597802198	
r147	    0.604519774	
r148	    0.619418852	
r149	    0.577753780	
r150	    0.488372093	
r151	    0.674157303	
r152	    0.646464646	
r153	    0.557165028	
r154	    0.291457286	
r155	    0.661707633	
r156	    0.717557252	
r157	    0.682725257	
r158	    0.651747881	
r159	    0.609328199	
r160	    0.617960426	
r161	    0.260025873	
r162	    0.251730872	
r163	    0.284620036	
r164	    0.305614407	
r165	    0.335472828	
r166	    0.310502283	
r167	    0.078266494	
r168	    0.030711876	
r169	    0.032654707	
r170	    0.042637712	
r171	    0.055198973	
r172	    0.071537291	
r173	    0.303843074	
r174	    0.284005979	
r175	    0.258608235	
r176	    0.250848504	
r177	    0.240452617	
r178	    0.194221509	
r179	    0.102882306	
r180	    0.099081785	
r181	    0.111967253	
r182	    0.150262265	
r183	    0.180575200	
r184	    0.202247191	
r185	    0.593274620	
r186	    0.616912236	
r187	    0.629424512	
r188	    0.598889232	
r189	    0.578972183	
r190	    0.603531300	
r191	    0.513505311	
r192	    0.634701341	
r193	    0.752262055	
r194	    0.783190067	
r195	    0.420333839	
r196	    0.326967357	
r197	    0.209712519	
r198	    0.139446036	
r199	    0.066160850	
r200	    0.038331302	
r201	    0.038025427	
r202	    0.077363897	
r203	    0.134054054	
r204	    0.192383778	
r205	    0.338945732	
r206	    0.595772787	
r207	    0.107387387	
r208	    0.143422354	
r209	    0.117730864	
r210	    0.138705416	
r211	    0.758558559	
r212	    0.664193867	
r213	    0.543323404	
r214	    0.265521797	
r215	    0.401530762	
r216	    0.808896211	
r217	    0.843570844	
r218	    0.853181818	
r219	    0.827655311	
r220	    0.896000000	
r221	    0.527965852	
r222	    0.167421746	
r223	    0.135681136	
r224	    0.124090909	
r225	    0.155310621	
r226	    0.088000000	
r227	    0.070503385	
r228	    0.023682043	
r229	    0.020748021	
r230	    0.022727273	
r231	    0.017034068	
r232	    0.016000000	
r233	    0.827063701	
r234	    0.401657875	
r235	    0.265436480	
r236	    0.101036269	
r237	    0.139130435	
r238	    0.105263158	
r239	    0.127402940	
r240	    0.571590053	
r241	    0.721078779	
r242	    0.870466321	
r243	    0.815217391	
r244	    0.868421053	
r245	    0.045533358	
r246	    0.026752072	
r247	    0.013484741	
r248	    0.028497409	
r249	    0.045652174	
r250	    0.026315789	
r251	    0.150626085	
r252	    0.506534653	
r253	    0.682507583	
r254	    0.791079812	
r255	    0.756756757	
r256	    0.904761905	
r257	    0.144959327	
r258	    0.089504950	
r259	    0.085945399	
r260	    0.084507042	
r261	    0.064864865	
r262	    0.000000000	
r263	    0.704414587	
r264	    0.403960396	
r265	    0.231547017	
r266	    0.124413146	
r267	    0.178378378	
r268	    0.095238095	
r269	    0.291417910	
r270	    0.106046512	
r271	    0.174479167	
r272	    0.073170732	
r273	    0.000000000	
r274	    0.000000000	
r275	    0.078582090	
r276	    0.439069767	
r277	    0.648437500	
r278	    0.701219512	
r279	    0.867924528	
r280	    0.909090909	
r281	    0.630000000	
r282	    0.454883721	
r283	    0.177083333	
r284	    0.225609756	
r285	    0.132075472	
r286	    0.090909091	
r287	    0.208888885	
r288	    2.569314737	
r289	    3.874009926	
r290	    5.080199661	
r291	    5.650571400	
r292	    7.282089888	
r293	    3.343151350	
r294	    3.592146673	
r295	    3.856152652	
r296	    5.619892863	
r297	    7.195093075	
r298	    9.294542765	
r299	    3.858916467	
r300	    4.457993776	
r301	    6.309367202	
r302	    7.672531159	
r303	    9.095755251	
r304	   13.198981699	
r305	   10.228749990	
r306	    7.290763438	
r307	   12.121131114	
r308	   11.866878192	
r309	   14.753044182	
r310	   19.298937115	
r311	    0.250000001	
r312	    3.863686260	
r313	    3.521777318	
r314	    4.915790592	
r315	    6.169603226	
r316	    7.232291881	
r317	    4.228593431	
r318	    3.476972117	
r319	    4.462294195	
r320	    5.572064915	
r321	    6.691697090	
r322	    9.910495312	
r323	    3.690019808	
r324	    4.390861856	
r325	    6.122538167	
r326	    7.913902548	
r327	    9.963035263	
r328	   12.601241333	
r329	    4.242083272	
r330	    7.327305966	
r331	    9.538855105	
r332	   10.849882798	
r333	   10.269389803	
r334	   22.049189383	
r335	   34.960657595	
r336	   59.308456692	
r337	   84.677304524	
r338	  171.016028684	
r339	   39.010134049	
r340	   56.769078040	
r341	   89.458985410	
r342	  168.180223983	
r343	   40.287652884	
r344	   43.300967759	
r345	   58.827305238	
r346	   72.710994228	
r347	   85.783523298	
r348	  113.202157945	
r349	    0.081367905	
r350	    0.270613401	
r351	    0.722886649	
r352	    1.143203763	
r353	    1.143721994	
r354	    0.000000000	
r355	    0.166778800	
r356	    0.520723019	
r357	    1.111270560	
r358	    2.151920493	
r359	    3.294631749	
r360	    8.210261583	
r361	    0.247182013	
r362	    0.823641647	
r363	    2.030844275	
r364	    3.829956228	
r365	    7.292860379	
r366	   11.595026970	
r367	    0.197025389	
r368	    0.682707162	
r369	    2.784210129	
r370	    6.641865733	
r371	   11.573141017	
r372	    0.000000000	
r373	    0.054416364	
r374	    0.055634157	
r375	    0.077146808	
r376	    0.090108244	
r377	    0.081243937	
r378	    0.000000000	
r379	    0.033382370	
r380	    0.080118034	
r381	    0.157458060	
r382	    0.340053307	
r383	    0.662373912	
r384	    0.000000000	
r385	    0.108809603	
r386	    0.260889440	
r387	    0.563130389	
r388	    1.022491875	
r389	    1.686401235	
r390	    2.200969934	
r391	    0.392241386	
r392	    0.501640488	
r393	    1.053584086	
r394	    2.422569741	
r395	    5.508773373	
r396	    0.000000000	
r397	    0.782031753	
r398	    2.116762172	
r399	    7.098663712	
r400	   17.961280639	
r401	    0.067754587	
r402	    0.148698869	
r403	    0.445919932	
r404	    1.084395186	
r405	    0.109605010	
r406	    0.849995810	
r407	    2.974016997	
r408	   11.002158179	
r409	   30.587800845	
r410	   99.393054771	
r411	    0.084225517	
r412	    0.195388213	
r413	    0.654510669	
r414	    1.990919370	
r415	    6.982630065	
r416	    4.306016445	
r417	    0.608955471	
r418	    0.811079646	
r419	    0.913894484	
r420	    0.882975220	
r421	    0.955238328	
r422	    1.028874586	
r423	    0.189967287	
r424	    0.470787975	
r425	    0.665749741	
r426	    0.642575343	
r427	    0.593324721	
r428	    0.710872963	
r429	    0.278069901	
r430	    0.331300115	
r431	    0.357749095	
r432	    0.341029650	
r433	    0.459272725	
r434	    0.601482807	
r435	    0.677931581	
r436	    0.434715730	
r437	    0.617311488	
r438	    0.683383221	
r439	    0.664775933	
r440	    1.057510362	
r441	    0.101782199	
r442	    0.339213135	
r443	    0.448292936	
r444	    0.206886507	
r445	    0.226041089	
r446	    0.562839847	
r447	   -0.672583371	
r448	   -0.401406886	
r449	   -0.389779931	
r450	   -0.394348104	
r451	   -0.318044488	
r452	   -0.047257928	
r453	    0.574657997	
r454	    0.875545454	
r455	    0.604823613	
r456	    0.843135447	
r457	    0.626834440	
r458	    0.588379940	
r459	    1.058827488	
r460	    1.297744508	
r461	    0.944574598	
r462	    1.146862862	
r463	    1.496529015	
r464	    0.971703224	
r465	    0.467600299	
r466	    0.662250240	
r467	    1.050190828	
r468	    1.728640034	
r469	    0.111075875	
r470	    0.532429395	
r471	    0.908078651	
r472	    1.609595938	
r473	    0.230539356	
r474	    0.260299931	
r475	    0.355999306	
r476	    0.380095399	
r477	    0.690785748	
r478	    0.537932564	
r479	    0.545698948	
r480	    0.395205924	
r481	   -0.377473465	
r482	   -0.040887366	
r483	    0.427113793	
r484	    0.959384559	
r485	   -0.777963420	
r486	   -0.444416463	
r487	   -0.145832959	
r488	    0.570799933	
r489	    0.760878846	
r490	    0.686988455	
r491	    0.613737395	
r492	    0.278465841	
r493	    1.398583850	
r494	    1.082781602	
r495	    1.163072687	
r496	    0.797656949	
r497	    0.469424691	
r498	    0.823844102	
r499	    0.928907532	
r500	    0.927639321	
r501	    0.858669923	
r502	    1.049532443	
r503	   -0.236903267	
r504	    0.178940354	
r505	    0.233039541	
r506	    0.563293441	
r507	    0.558809016	
r508	    1.119127525	
r509	    0.890493223	
r510	    0.758167147	
r511	    0.668938781	
r512	    0.463507876	
r513	    0.443895571	
r514	    0.385174373	
r515	    0.073107018	
r516	   -0.161741670	
r517	    0.109047714	
r518	    0.333638307	
r519	    0.023842349	
r520	   -0.318320531	
r521	    0.040560980	
r522	    0.075879344	
r523	    0.205476600	
r524	    0.006742599	
r525	    0.034180659	
r526	   -0.016966730	
r527	    0.285604481	
r528	    0.055062582	
r529	    0.175812202	
r530	    0.062841622	
r531	    0.045607125	
r532	    0.067952108	
r533	    0.026702009	
r534	    0.004999252	
r535	    0.279255763	
r536	   -0.000504134	
r537	    0.045502861	
r538	   -0.025617817	
r539	   -0.002931091	
r540	    0.030735270	
r541	    0.014036647	
r542	    0.072191603	
r543	   -0.002355615	
r544	    0.008910681	
r545	    0.092445286	
r546	    0.105401021	
r547	   -0.164109820	
r548	   -0.037545763	
r549	    0.119535722	
r550	    0.111260683	
r551	   -0.012476302	
r552	    0.079665673	
r553	    0.253164557	
r554	    0.046312178	
r555	    0.022408964	
r556	    0.506329114	
r557	    0.753859348	
r558	    0.322128852	
r559	    0.240506329	
r560	    0.199828473	
r561	    0.655462185	
r562	    0.955074425	
r563	    0.095679012	
r564	    0.311111111	
r565	    0.036806495	
r566	    0.898919753	
r567	    0.066666667	
r568	    0.008119080	
r569	    0.005401235	
r570	    0.622222222	
r571	    0.841181165	
r572	    0.057831325	
r573	    0.041860465	
r574	    0.025538707	
r575	    0.792771084	
r576	    0.024418605	
r577	    0.133280128	
r578	    0.149397590	
r579	    0.933720930	
r580	    0.943449576	
r581	    0.084112150	
r582	    0.245762712	
r583	    0.043669494	
r584	    0.906542056	
r585	    0.093220339	
r586	    0.012880930	
r587	    0.009345794	
r588	    0.661016949	
r589	    0.891578947	
r590	    0.044887781	
r591	    0.042042042	
r592	    0.023157895	
r593	    0.842892768	
r594	    0.026169026	
r595	    0.085263158	
r596	    0.112219451	
r597	    0.931788932	
r598	    0.943752882	
r599	    0.081573896	
r600	    0.241071429	
r601	    0.046104195	
r602	    0.901151631	
r603	    0.089285714	
r604	    0.010142923	
r605	    0.017274472	
r606	    0.669642857	
r607	    0.858187135	
r608	    0.044887781	
r609	    0.050911376	
r610	    0.029239766	
r611	    0.837905237	
r612	    0.043368950	
r613	    0.112573099	
r614	    0.117206983	
r615	    0.905719673	
r616	    0.928759894	
r617	    0.076205288	
r618	    0.197183099	
r619	    0.065083553	
r620	    0.891135303	
r621	    0.140845070	
r622	    0.006156552	
r623	    0.032659409	
r624	    0.661971831	
r625	    0.845744681	
r626	    0.060070671	
r627	    0.047180667	
r628	    0.058510638	
r629	    0.809187279	
r630	    0.067894131	
r631	    0.095744681	
r632	    0.130742049	
r633	    0.884925201	
r634	    0.934865900	
r635	    0.130952381	
r636	    0.272727273	
r637	    0.053639847	
r638	    0.827380952	
r639	    0.136363636	
r640	    0.011494253	
r641	    0.041666667	
r642	    0.590909091	
r643	    0.820512821	
r644	    0.056179775	
r645	    0.038647343	
r646	    0.102564103	
r647	    0.786516854	
r648	    0.086956522	
r649	    0.076923077	
r650	    0.157303371	
r651	    0.874396135	
r652	    3.166112957	
r653	    6.262025316	
r654	    9.768989820	
r655	   12.242424242	
r656	   14.780071174	
r657	   15.213004484	
r658	    0.943521595	
r659	    2.183544304	
r660	    3.472200470	
r661	    5.746801347	
r662	    7.056227758	
r663	    7.784753363	
r664	    2.554817276	
r665	    2.821518987	
r666	    2.866092404	
r667	    3.062626263	
r668	    3.999288256	
r669	    7.096412556	
r670	    2.365461847	
r671	    3.648611111	
r672	    5.075173096	
r673	    5.117953166	
r674	    5.418965517	
r675	    5.258760108	
r676	    0.429718876	
r677	    1.195833333	
r678	    1.569732938	
r679	    2.370338248	
r680	    2.898275862	
r681	    2.741239892	
r682	    4.469879518	
r683	    6.413888889	
r684	    9.207715134	
r685	   12.738941891	
r686	   16.248275862	
r687	   20.509433962	
r688	    0.189059213	
r689	    0.081154193	
r690	    0.141268410	
r691	    0.230538022	
r692	    0.357980162	
r693	    0.126856173	
r694	    0.072549852	
r695	    0.134493000	
r696	    0.174798473	
r697	    0.491302503	
r698	    0.242438343	
r699	    0.088413215	
r700	    0.090739879	
r701	    0.101907864	
r702	    0.476500698	
r703	    0.156268928	
r704	    0.068443368	
r705	    0.109024833	
r706	    0.109024833	
r707	    0.557238038	
r708	    0.812649880	
r709	    0.157673861	
r710	    0.017086331	
r711	    0.009892086	
r712	    0.002697842	
r713	    0.577280405	
r714	    0.289273649	
r715	    0.114020270	
r716	    0.014780405	
r717	    0.004645270	
r718	    0.140461997	
r719	    0.153129657	
r720	    0.239195231	
r721	    0.267883756	
r722	    0.199329359	
r723	    0.135421930	
r724	    0.242546741	
r725	    0.249115715	
r726	    0.207175341	
r727	    0.165740273	
r728	    0.411764706	
r729	    0.289361702	
r730	    0.236413043	
r731	    0.173766816	
r732	    0.140708915	
r733	    0.084615385	
r734	    0.385620915	
r735	    0.478723404	
r736	    0.463315217	
r737	    0.437219731	
r738	    0.411385607	
r739	    0.325641026	
r740	    0.202614379	
r741	    0.231914894	
r742	    0.300271739	
r743	    0.389013453	
r744	    0.447905478	
r745	    0.589743590	
r746	    3.616788248	
r747	    4.482646856	
r748	    5.363815837	
r749	    6.828602269	
r750	    8.364473697	
r751	   11.252957093	
r752	    3.558188031	
r753	    3.846458063	
r754	    5.911415807	
r755	    7.136325957	
r756	    8.058660149	
r757	   11.724939264	
r758	    4.124775199	
r759	    5.402182187	
r760	    6.370868182	
r761	    7.160625139	
r762	    7.915837284	
r763	   11.466643171	
r764	    4.648526562	
r765	    3.480704965	
r766	    6.425388547	
r767	    6.140859881	
r768	    7.556115035	
r769	   12.800125757	
r770	    0.607142857	
r771	    0.654794521	
r772	    0.647887324	
r773	    0.600000000	
r774	    0.550684932	
r775	    0.624691358	
r776	    0.267857143	
r777	    0.290410959	
r778	    0.307042254	
r779	    0.335211268	
r780	    0.380821918	
r781	    0.320987654	
r782	    0.125000000	
r783	    0.054794521	
r784	    0.045070423	
r785	    0.064788732	
r786	    0.068493151	
r787	    0.054320988	
r788	    0.185714286	
r789	    0.212500000	
r790	    0.215625000	
r791	    0.181250000	
r792	    0.234375000	
r793	    0.202597403	
r794	    0.057142857	
r795	    0.084375000	
r796	    0.090625000	
r797	    0.118750000	
r798	    0.153125000	
r799	    0.197402597	
r800	    0.757142857	
r801	    0.703125000	
r802	    0.693750000	
r803	    0.700000000	
r804	    0.612500000	
r805	    0.600000000	
r806	    0.618181818	
r807	    0.694651320	
r808	    0.686526743	
r809	    0.668914363	
r810	    0.624113475	
r811	    0.607142857	
r812	    0.295104895	
r813	    0.268111036	
r814	    0.288422478	
r815	    0.303438975	
r816	    0.323877069	
r817	    0.293650794	
r818	    0.086713287	
r819	    0.037237644	
r820	    0.025050779	
r821	    0.027646662	
r822	    0.052009456	
r823	    0.099206349	
r824	    0.230514096	
r825	    0.219648562	
r826	    0.229166667	
r827	    0.262479871	
r828	    0.240440700	
r829	    0.180672269	
r830	    0.101160862	
r831	    0.105431310	
r832	    0.107371795	
r833	    0.143317230	
r834	    0.189889825	
r835	    0.210084034	
r836	    0.668325041	
r837	    0.674920128	
r838	    0.663461538	
r839	    0.594202899	
r840	    0.569669475	
r841	    0.609243697	
r842	    0.631901840	
r843	    0.712837838	
r844	    0.685423729	
r845	    0.643111639	
r846	    0.596428571	
r847	    0.279754601	
r848	    0.260810811	
r849	    0.292203390	
r850	    0.309382423	
r851	    0.346428571	
r852	    0.088343558	
r853	    0.026351351	
r854	    0.022372881	
r855	    0.047505938	
r856	    0.057142857	
r857	    0.306930693	
r858	    0.289473684	
r859	    0.269366197	
r860	    0.255186722	
r861	    0.248062016	
r862	    0.089108911	
r863	    0.095614035	
r864	    0.123239437	
r865	    0.167358230	
r866	    0.158914729	
r867	    0.603960396	
r868	    0.614912281	
r869	    0.607394366	
r870	    0.577455048	
r871	    0.593023256	
r872	    0.668579627	
r873	    0.764472641	
r874	    0.679336558	
r875	    0.681102362	
r876	    0.241032999	
r877	    0.212529738	
r878	    0.275051831	
r879	    0.251968504	
r880	    0.090387374	
r881	    0.022997621	
r882	    0.045611610	
r883	    0.066929134	
r884	    0.359315589	
r885	    0.343403827	
r886	    0.280978690	
r887	    0.257510730	
r888	    0.091254753	
r889	    0.081570997	
r890	    0.112075770	
r891	    0.124463519	
r892	    0.549429658	
r893	    0.575025176	
r894	    0.606945541	
r895	    0.618025751	
r896	    0.728059333	
r897	    0.721904762	
r898	    0.719806763	
r899	    0.224969098	
r900	    0.249523810	
r901	    0.231884058	
r902	    0.046971570	
r903	    0.028571429	
r904	    0.048309179	
r905	    0.334776335	
r906	    0.323108384	
r907	    0.313186813	
r908	    0.129870130	
r909	    0.117586912	
r910	    0.109890110	
r911	    0.535353535	
r912	    0.559304703	
r913	    0.576923077	
r914	    0.005998555	
r915	    0.049242363	
r916	    0.521955243	
r917	    2.299288598	
r918	    4.823734252	
r919	   10.241120815	
r920	    0.018085099	
r921	    0.223604952	
r922	    1.243107077	
r923	    3.018693933	
r924	    5.057071757	
r925	    0.099032339	
r926	    0.703743138	
r927	    1.996660747	
r928	    3.406268655	
r929	    0.321232515	
r930	    1.145409664	
r931	    2.146162927	
r932	    0.422103196	
r933	    0.942514469	
r934	    0.002565138	
r935	    0.027595076	
r936	    0.209343881	
r937	    0.737548001	
r938	    1.276169251	
r939	    1.467313290	
r940	    0.005832863	
r941	    0.062413264	
r942	    0.285424396	
r943	    0.628366130	
r944	    0.929091849	
r945	    0.044886002	
r946	    0.194467679	
r947	    0.451553627	
r948	    0.510759172	
r949	    0.127640663	
r950	    0.348303932	
r951	    0.574909631	
r952	    0.216221297	
r953	    0.448093211	
