	c1	
r406	 4508.000000000	
r407	 3270.000000000	
r408	 1790.000000000	
r409	  433.000000000	
r410	    5.000000000	
r411	 2086.000000000	
r412	 3573.000000000	
r413	 2540.000000000	
r414	 1418.000000000	
r415	  333.000000000	
r416	    3.000000000	
r417	  179.000000000	
r418	  419.000000000	
r419	  658.000000000	
r420	  735.000000000	
r421	  712.000000000	
r422	  249.000000000	
r423	   50.000000000	
r424	  164.000000000	
r425	  291.000000000	
r426	  365.000000000	
r427	  413.000000000	
r428	  145.000000000	
r429	  179.000000000	
r430	  419.000000000	
r431	  658.000000000	
r432	  735.000000000	
r433	  712.000000000	
r434	  249.000000000	
r435	   50.000000000	
r436	  164.000000000	
r437	  291.000000000	
r438	  365.000000000	
r439	  413.000000000	
r440	  145.000000000	
r441	   63.000000000	
r442	  189.000000000	
r443	  245.000000000	
r444	  256.000000000	
r445	  251.000000000	
r446	   74.000000000	
r447	   22.000000000	
r448	   73.000000000	
r449	  107.000000000	
r450	  182.000000000	
r451	  214.000000000	
r452	   84.000000000	
r453	   63.000000000	
r454	  189.000000000	
r455	  245.000000000	
r456	  256.000000000	
r457	  251.000000000	
r458	   74.000000000	
r459	   22.000000000	
r460	   73.000000000	
r461	  107.000000000	
r462	  182.000000000	
r463	  214.000000000	
r464	   84.000000000	
r465	  349.000000000	
r466	  936.000000000	
r467	 1517.000000000	
r468	  150.000000000	
r469	  297.000000000	
r470	  612.000000000	
r471	  472.000000000	
r472	   47.000000000	
r473	  349.000000000	
r474	  936.000000000	
r475	 1517.000000000	
r476	  150.000000000	
r477	  297.000000000	
r478	  612.000000000	
r479	  472.000000000	
r480	   47.000000000	
r481	   81.000000000	
r482	  270.000000000	
r483	  609.000000000	
r484	  118.000000000	
r485	  105.000000000	
r486	  264.000000000	
r487	  292.000000000	
r488	   21.000000000	
r489	   81.000000000	
r490	  270.000000000	
r491	  609.000000000	
r492	  118.000000000	
r493	  105.000000000	
r494	  264.000000000	
r495	  292.000000000	
r496	   21.000000000	
r497	  976.000000000	
r498	  846.000000000	
r499	  930.000000000	
r500	  852.000000000	
r501	  656.000000000	
r502	  120.000000000	
r503	  803.000000000	
r504	  438.000000000	
r505	  268.000000000	
r506	  132.000000000	
r507	  100.000000000	
r508	   19.000000000	
r509	 2886.000000000	
r510	  603.000000000	
r511	  337.000000000	
r512	  209.000000000	
r513	  277.000000000	
r514	   68.000000000	
r515	 1400.000000000	
r516	  171.000000000	
r517	   94.000000000	
r518	   58.000000000	
r519	   28.000000000	
r520	    9.000000000	
r521	 2045.000000000	
r522	  127.000000000	
r523	  140.000000000	
r524	  968.000000000	
r525	  691.000000000	
r526	   45.000000000	
r527	   34.000000000	
r528	  404.000000000	
r529	  109.000000000	
r530	  294.000000000	
r531	  467.000000000	
r532	  545.000000000	
r533	  548.000000000	
r534	  222.000000000	
r535	   34.000000000	
r536	  111.000000000	
r537	  228.000000000	
r538	  262.000000000	
r539	  329.000000000	
r540	  131.000000000	
r541	   30.000000000	
r542	  124.000000000	
r543	  164.000000000	
r544	  168.000000000	
r545	  181.000000000	
r546	   58.000000000	
r547	   10.000000000	
r548	   40.000000000	
r549	   72.000000000	
r550	  117.000000000	
r551	  149.000000000	
r552	   61.000000000	
r553	   79.000000000	
r554	 1166.000000000	
r555	  714.000000000	
r556	   79.000000000	
r557	 1166.000000000	
r558	  714.000000000	
r559	   79.000000000	
r560	 1166.000000000	
r561	  714.000000000	
r562	 3695.000000000	
r563	 1296.000000000	
r564	  180.000000000	
r565	 3695.000000000	
r566	 1296.000000000	
r567	  180.000000000	
r568	 3695.000000000	
r569	 1296.000000000	
r570	  180.000000000	
r571	 1253.000000000	
r572	  415.000000000	
r573	 2580.000000000	
r574	 1253.000000000	
r575	  415.000000000	
r576	 2580.000000000	
r577	 1253.000000000	
r578	  415.000000000	
r579	 2580.000000000	
r580	 3183.000000000	
r581	 1284.000000000	
r582	  118.000000000	
r583	 3183.000000000	
r584	 1284.000000000	
r585	  118.000000000	
r586	 3183.000000000	
r587	 1284.000000000	
r588	  118.000000000	
r589	  950.000000000	
r590	  401.000000000	
r591	 2331.000000000	
r592	  950.000000000	
r593	  401.000000000	
r594	 2331.000000000	
r595	  950.000000000	
r596	  401.000000000	
r597	 2331.000000000	
r598	 2169.000000000	
r599	 1042.000000000	
r600	  112.000000000	
r601	 2169.000000000	
r602	 1042.000000000	
r603	  112.000000000	
r604	 2169.000000000	
r605	 1042.000000000	
r606	  112.000000000	
r607	  684.000000000	
r608	  401.000000000	
r609	 1591.000000000	
r610	  684.000000000	
r611	  401.000000000	
r612	 1591.000000000	
r613	  684.000000000	
r614	  401.000000000	
r615	 1591.000000000	
r616	 1137.000000000	
r617	  643.000000000	
r618	   71.000000000	
r619	 1137.000000000	
r620	  643.000000000	
r621	   71.000000000	
r622	 1137.000000000	
r623	  643.000000000	
r624	   71.000000000	
r625	  376.000000000	
r626	  283.000000000	
r627	  869.000000000	
r628	  376.000000000	
r629	  283.000000000	
r630	  869.000000000	
r631	  376.000000000	
r632	  283.000000000	
r633	  869.000000000	
r634	  261.000000000	
r635	  168.000000000	
r636	   22.000000000	
r637	  261.000000000	
r638	  168.000000000	
r639	   22.000000000	
r640	  261.000000000	
r641	  168.000000000	
r642	   22.000000000	
r643	   78.000000000	
r644	   89.000000000	
r645	  207.000000000	
r646	   78.000000000	
r647	   89.000000000	
r648	  207.000000000	
r649	   78.000000000	
r650	   89.000000000	
r651	  207.000000000	
r652	  301.000000000	
r653	  790.000000000	
r654	 1277.000000000	
r655	 1485.000000000	
r656	 1405.000000000	
r657	  446.000000000	
r658	  301.000000000	
r659	  790.000000000	
r660	 1277.000000000	
r661	 1485.000000000	
r662	 1405.000000000	
r663	  446.000000000	
r664	  301.000000000	
r665	  790.000000000	
r666	 1277.000000000	
r667	 1485.000000000	
r668	 1405.000000000	
r669	  446.000000000	
r670	  249.000000000	
r671	  720.000000000	
r672	 1011.000000000	
r673	 1153.000000000	
r674	 1160.000000000	
r675	  371.000000000	
r676	  249.000000000	
r677	  720.000000000	
r678	 1011.000000000	
r679	 1153.000000000	
r680	 1160.000000000	
r681	  371.000000000	
r682	  249.000000000	
r683	  720.000000000	
r684	 1011.000000000	
r685	 1153.000000000	
r686	 1160.000000000	
r687	  371.000000000	
r688	 3327.000000000	
r689	 3327.000000000	
r690	 3327.000000000	
r691	 3327.000000000	
r692	 3327.000000000	
r693	 2357.000000000	
r694	 2357.000000000	
r695	 2357.000000000	
r696	 2357.000000000	
r697	 2357.000000000	
r698	 2149.000000000	
r699	 2149.000000000	
r700	 2149.000000000	
r701	 2149.000000000	
r702	 2149.000000000	
r703	 1651.000000000	
r704	 1651.000000000	
r705	 1651.000000000	
r706	 1651.000000000	
r707	 1651.000000000	
r708	 3336.000000000	
r709	 3336.000000000	
r710	 3336.000000000	
r711	 3336.000000000	
r712	 3336.000000000	
r713	 2368.000000000	
r714	 2368.000000000	
r715	 2368.000000000	
r716	 2368.000000000	
r717	 2368.000000000	
r718	 2684.000000000	
r719	 2684.000000000	
r720	 2684.000000000	
r721	 2684.000000000	
r722	 2684.000000000	
r723	 1979.000000000	
r724	 1979.000000000	
r725	 1979.000000000	
r726	 1979.000000000	
r727	 1979.000000000	
r728	  153.000000000	
r729	  470.000000000	
r730	  736.000000000	
r731	  892.000000000	
r732	  931.000000000	
r733	  390.000000000	
r734	  153.000000000	
r735	  470.000000000	
r736	  736.000000000	
r737	  892.000000000	
r738	  931.000000000	
r739	  390.000000000	
r740	  153.000000000	
r741	  470.000000000	
r742	  736.000000000	
r743	  892.000000000	
r744	  931.000000000	
r745	  390.000000000	
r746	  115.000000000	
r747	  338.000000000	
r748	  497.000000000	
r749	  577.000000000	
r750	  566.000000000	
r751	  245.000000000	
r752	   28.000000000	
r753	   99.000000000	
r754	  181.000000000	
r755	  251.000000000	
r756	  278.000000000	
r757	  109.000000000	
r758	   38.000000000	
r759	  136.000000000	
r760	  194.000000000	
r761	  216.000000000	
r762	  219.000000000	
r763	   69.000000000	
r764	   17.000000000	
r765	   48.000000000	
r766	   78.000000000	
r767	  121.000000000	
r768	  149.000000000	
r769	   67.000000000	
r770	   56.000000000	
r771	  365.000000000	
r772	  355.000000000	
r773	  355.000000000	
r774	  365.000000000	
r775	  405.000000000	
r776	   56.000000000	
r777	  365.000000000	
r778	  355.000000000	
r779	  355.000000000	
r780	  365.000000000	
r781	  405.000000000	
r782	   56.000000000	
r783	  365.000000000	
r784	  355.000000000	
r785	  355.000000000	
r786	  365.000000000	
r787	  405.000000000	
r788	   70.000000000	
r789	  320.000000000	
r790	  320.000000000	
r791	  320.000000000	
r792	  320.000000000	
r793	  385.000000000	
r794	   70.000000000	
r795	  320.000000000	
r796	  320.000000000	
r797	  320.000000000	
r798	  320.000000000	
r799	  385.000000000	
r800	   70.000000000	
r801	  320.000000000	
r802	  320.000000000	
r803	  320.000000000	
r804	  320.000000000	
r805	  385.000000000	
r806	  715.000000000	
r807	 1477.000000000	
r808	 1477.000000000	
r809	 1483.000000000	
r810	 1692.000000000	
r811	  252.000000000	
r812	  715.000000000	
r813	 1477.000000000	
r814	 1477.000000000	
r815	 1483.000000000	
r816	 1692.000000000	
r817	  252.000000000	
r818	  715.000000000	
r819	 1477.000000000	
r820	 1477.000000000	
r821	 1483.000000000	
r822	 1692.000000000	
r823	  252.000000000	
r824	  603.000000000	
r825	 1252.000000000	
r826	 1248.000000000	
r827	 1242.000000000	
r828	 1543.000000000	
r829	  238.000000000	
r830	  603.000000000	
r831	 1252.000000000	
r832	 1248.000000000	
r833	 1242.000000000	
r834	 1543.000000000	
r835	  238.000000000	
r836	  603.000000000	
r837	 1252.000000000	
r838	 1248.000000000	
r839	 1242.000000000	
r840	 1543.000000000	
r841	  238.000000000	
r842	  815.000000000	
r843	 1480.000000000	
r844	 1475.000000000	
r845	 1684.000000000	
r846	  280.000000000	
r847	  815.000000000	
r848	 1480.000000000	
r849	 1475.000000000	
r850	 1684.000000000	
r851	  280.000000000	
r852	  815.000000000	
r853	 1480.000000000	
r854	 1475.000000000	
r855	 1684.000000000	
r856	  280.000000000	
r857	  606.000000000	
r858	 1140.000000000	
r859	 1136.000000000	
r860	 1446.000000000	
r861	  258.000000000	
r862	  606.000000000	
r863	 1140.000000000	
r864	 1136.000000000	
r865	 1446.000000000	
r866	  258.000000000	
r867	  606.000000000	
r868	 1140.000000000	
r869	 1136.000000000	
r870	 1446.000000000	
r871	  258.000000000	
r872	  697.000000000	
r873	 1261.000000000	
r874	 1447.000000000	
r875	  254.000000000	
r876	  697.000000000	
r877	 1261.000000000	
r878	 1447.000000000	
r879	  254.000000000	
r880	  697.000000000	
r881	 1261.000000000	
r882	 1447.000000000	
r883	  254.000000000	
r884	  526.000000000	
r885	  993.000000000	
r886	 1267.000000000	
r887	  233.000000000	
r888	  526.000000000	
r889	  993.000000000	
r890	 1267.000000000	
r891	  233.000000000	
r892	  526.000000000	
r893	  993.000000000	
r894	 1267.000000000	
r895	  233.000000000	
r896	  809.000000000	
r897	 1050.000000000	
r898	  207.000000000	
r899	  809.000000000	
r900	 1050.000000000	
r901	  207.000000000	
r902	  809.000000000	
r903	 1050.000000000	
r904	  207.000000000	
r905	  693.000000000	
r906	  978.000000000	
r907	  182.000000000	
r908	  693.000000000	
r909	  978.000000000	
r910	  182.000000000	
r911	  693.000000000	
r912	  978.000000000	
r913	  182.000000000	
r914	   54.000000000	
r915	  346.000000000	
r916	  359.000000000	
r917	  357.000000000	
r918	  270.000000000	
r919	    5.000000000	
r920	  684.000000000	
r921	 1435.000000000	
r922	 1453.000000000	
r923	 1242.000000000	
r924	  163.000000000	
r925	  792.000000000	
r926	 1458.000000000	
r927	 1286.000000000	
r928	  191.000000000	
r929	  688.000000000	
r930	 1128.000000000	
r931	  172.000000000	
r932	  428.000000000	
r933	  141.000000000	
r934	   70.000000000	
r935	  313.000000000	
r936	  308.000000000	
r937	  290.000000000	
r938	  220.000000000	
r939	    3.000000000	
r940	  585.000000000	
r941	 1214.000000000	
r942	 1194.000000000	
r943	 1002.000000000	
r944	  113.000000000	
r945	  592.000000000	
r946	 1114.000000000	
r947	  933.000000000	
r948	  126.000000000	
r949	  511.000000000	
r950	  840.000000000	
r951	  105.000000000	
r952	  328.000000000	
r953	   92.000000000	
